Bateador,Etapa,Equipo,Pitcher,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,AVG,OBP,SLG,OPS,Unnamed: 18
Emilio Bonifacio,Serie Regular,Tigres del Licey,Jhan Mariñez,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Pedro Strop,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Richard Rodriguez,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Williams Jerez,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Dinelson Lamet,1,1,0,0,0,0,0,2,0,0,0.0,0.667,0.0,0.667,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Junior Fernandez,1,0,1,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Gerson Garabito,7,0,2,0,0,0,0,0,0,0,0.286,0.286,0.286,0.571,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Jonathan Hernandez,3,0,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Enny Romero,10,2,1,0,0,0,0,2,0,2,0.1,0.25,0.1,0.35,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Carlos Peña,2,1,1,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Yoan Lopez,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Nathanael Heredia,2,1,1,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Edwin Nuñez,1,1,1,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Wilmy Sanchez,1,1,1,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Braulio Torres-Perez,3,1,2,0,0,0,0,0,0,1,0.667,0.667,0.667,1.333,
Emilio Bonifacio,Serie Regular,Tigres del Licey,Amir Garrett,1,0,0,0,0,0,0,1,0,1,0.0,0.5,0.0,0.5,
